#{"t_start": 1710948578.6907597, "env_id": "CartPole-v1"}
r,l,t
21.0,21,0.449584
16.0,16,0.450787
31.0,31,0.452981
40.0,40,0.455688
15.0,15,0.456747
45.0,45,0.459796
31.0,31,0.461915
9.0,9,0.46257
18.0,18,0.463849
21.0,21,0.465386
20.0,20,0.466783
38.0,38,0.469436
25.0,25,0.471145
31.0,31,0.47329
14.0,14,0.474279
12.0,12,0.475117
11.0,11,0.475898
12.0,12,0.476822
24.0,24,0.478445
14.0,14,0.479396
16.0,16,0.480588
29.0,29,0.482667
47.0,47,0.485954
10.0,10,0.486683
37.0,37,0.489145
12.0,12,0.49011
14.0,14,0.491104
28.0,28,0.49307
42.0,42,0.49592
27.0,27,0.497822
23.0,23,0.499355
13.0,13,0.500281
10.0,10,0.50098
18.0,18,0.502301
19.0,19,0.503648
16.0,16,0.504782
15.0,15,0.505853
13.0,13,0.506883
28.0,28,0.508849
25.0,25,0.510651
13.0,13,0.511585
14.0,14,0.512626
13.0,13,0.513602
20.0,20,0.514958
35.0,35,0.517281
17.0,17,0.518577
21.0,21,0.51999
9.0,9,0.520691
30.0,30,0.522825
20.0,20,0.524376
43.0,43,0.527263
19.0,19,0.52866
13.0,13,0.529629
18.0,18,0.530989
37.0,37,0.533486
19.0,19,0.534793
13.0,13,0.535688
23.0,23,0.537365
13.0,13,0.538266
10.0,10,0.538988
11.0,11,0.539734
12.0,12,0.540716
11.0,11,0.541553
12.0,12,0.542415
15.0,15,0.543486
16.0,16,0.544738
25.0,25,0.54646
22.0,22,0.54796
23.0,23,0.549512
19.0,19,0.550934
13.0,13,0.551882
21.0,21,0.553373
22.0,22,0.554889
10.0,10,0.555712
13.0,13,0.556648
14.0,14,0.557674
20.0,20,0.559065
30.0,30,0.561172
63.0,63,0.565325
56.0,56,0.569059
23.0,23,0.570654
19.0,19,0.57207
37.0,37,0.574594
16.0,16,0.575747
14.0,14,0.576782
26.0,26,0.578587
32.0,32,0.58074
17.0,17,0.581931
29.0,29,0.5839
30.0,30,0.586053
12.0,12,0.586916
28.0,28,0.58891
16.0,16,0.590006
21.0,21,0.591528
16.0,16,0.592628
25.0,25,0.594308
10.0,10,0.594997
30.0,30,0.597149
36.0,36,0.59955
21.0,21,0.601012
38.0,38,0.603636
26.0,26,0.605552
34.0,34,0.607834
10.0,10,0.608536
27.0,27,0.610353
21.0,21,0.611866
16.0,16,0.612986
30.0,30,0.615029
31.0,31,0.61713
15.0,15,0.618272
18.0,18,0.619614
17.0,17,0.620791
39.0,39,0.623386
35.0,35,0.62578
12.0,12,0.626642
17.0,17,0.627867
27.0,27,0.629714
12.0,12,0.630648
19.0,19,0.631988
12.0,12,0.632857
21.0,21,0.634697
14.0,14,0.635731
22.0,22,0.637213
19.0,19,0.638577
19.0,19,0.639881
35.0,35,0.642318
31.0,31,0.644466
16.0,16,0.645625
31.0,31,0.647839
30.0,30,0.650056
28.0,28,0.652057
22.0,22,0.653637
21.0,21,0.655177
9.0,9,0.655988
17.0,17,0.657257
33.0,33,0.659452
69.0,69,0.664057
15.0,15,0.665188
15.0,15,0.666236
16.0,16,0.667376
13.0,13,0.668302
19.0,19,0.66972
17.0,17,0.670914
13.0,13,0.671838
12.0,12,0.672706
29.0,29,0.674809
23.0,23,0.67639
29.0,29,0.678422
42.0,42,0.681284
16.0,16,0.682511
12.0,12,0.683349
14.0,14,0.684339
15.0,15,0.685345
22.0,22,0.686925
10.0,10,0.687639
9.0,9,0.688361
16.0,16,0.689507
35.0,35,0.691947
23.0,23,0.693572
34.0,34,0.696012
37.0,37,0.698526
26.0,26,0.700337
28.0,28,0.702224
32.0,32,0.70443
