#{"t_start": 1710948568.40357, "env_id": "CartPole-v1"}
r,l,t
39.0,39,4.352555
11.0,11,4.365605
14.0,14,4.377513
12.0,12,4.391058
48.0,48,4.438477
10.0,10,4.448406
17.0,17,4.466854
20.0,20,4.486816
25.0,25,4.511322
16.0,16,4.527046
41.0,41,4.5642
12.0,12,4.576459
19.0,19,4.591926
10.0,10,4.601052
9.0,9,4.60969
10.0,10,4.618987
16.0,16,4.634124
12.0,12,4.647297
18.0,18,4.666925
22.0,22,4.695953
52.0,52,4.757222
14.0,14,4.774813
11.0,11,4.786996
14.0,14,4.804405
15.0,15,4.821911
21.0,21,4.846384
22.0,22,4.875238
11.0,11,4.88602
20.0,20,4.905025
23.0,23,4.926457
12.0,12,4.939693
29.0,29,4.968889
26.0,26,4.9928
25.0,25,5.016365
15.0,15,5.030543
17.0,17,5.045239
33.0,33,5.075891
14.0,14,5.089012
21.0,21,5.107583
11.0,11,5.11715
16.0,16,5.131235
13.0,13,5.144744
26.0,26,5.169402
17.0,17,5.183976
15.0,15,5.197517
56.0,56,5.251792
19.0,19,5.267444
10.0,10,5.276711
20.0,20,5.295018
56.0,56,5.349896
13.0,13,5.36131
21.0,21,5.384595
13.0,13,5.40013
16.0,16,5.41832
16.0,16,5.435847
17.0,17,5.457465
20.0,20,5.479381
17.0,17,5.497599
19.0,19,5.520369
24.0,24,5.547426
29.0,29,5.580471
11.0,11,5.590535
14.0,14,5.604416
9.0,9,5.610994
14.0,14,5.624301
11.0,11,5.633902
15.0,15,5.647559
22.0,22,5.668969
17.0,17,5.683625
13.0,13,5.696348
18.0,18,5.711429
12.0,12,5.723703
18.0,18,5.738767
14.0,14,5.751967
11.0,11,5.761556
14.0,14,5.774694
28.0,28,5.801016
29.0,29,5.827644
16.0,16,5.841899
16.0,16,5.856533
29.0,29,5.883632
17.0,17,5.898287
23.0,23,5.919936
12.0,12,5.930932
15.0,15,5.945504
19.0,19,5.96422
30.0,30,5.993516
13.0,13,6.007548
17.0,17,6.023253
24.0,24,6.046435
42.0,42,6.083851
21.0,21,6.102895
15.0,15,6.116439
59.0,59,6.170014
29.0,29,6.196621
30.0,30,6.223754
42.0,42,6.260951
35.0,35,6.292912
18.0,18,6.31031
32.0,32,6.338667
101.0,101,6.431628
19.0,19,6.447049
19.0,19,6.46468
23.0,23,6.487085
33.0,33,6.51547
42.0,42,6.555032
9.0,9,6.563658
26.0,26,6.587012
35.0,35,6.618913
26.0,26,6.641984
29.0,29,6.668566
23.0,23,6.688013
38.0,38,6.723357
54.0,54,6.772504
47.0,47,6.814277
44.0,44,6.855412
79.0,79,6.928694
67.0,67,6.989017
32.0,32,7.02001
69.0,69,7.090192
70.0,70,7.167071
75.0,75,7.24938
52.0,52,7.307378
57.0,57,7.358666
104.0,104,7.456041
33.0,33,7.489672
36.0,36,7.523402
28.0,28,7.54847
83.0,83,7.629341
55.0,55,7.684014
42.0,42,7.725212
34.0,34,7.759074
37.0,37,7.796577
23.0,23,7.81626
28.0,28,7.845416
20.0,20,7.865311
31.0,31,7.896729
36.0,36,7.92979
36.0,36,7.963186
37.0,37,7.998122
23.0,23,8.017569
26.0,26,8.044998
21.0,21,8.065109
27.0,27,8.091395
28.0,28,8.120014
19.0,19,8.139527
19.0,19,8.15686
19.0,19,8.176325
22.0,22,8.199417
17.0,17,8.215164
12.0,12,8.226062
15.0,15,8.24086
11.0,11,8.25291
12.0,12,8.262971
11.0,11,8.272532
17.0,17,8.289643
11.0,11,8.299474
15.0,15,8.313222
9.0,9,8.321804
13.0,13,8.332267
10.0,10,8.341377
19.0,19,8.358974
11.0,11,8.368489
10.0,10,8.377602
11.0,11,8.387316
14.0,14,8.400435
11.0,11,8.409964
14.0,14,8.423046
13.0,13,8.435855
14.0,14,8.449136
11.0,11,8.458705
19.0,19,8.477114
17.0,17,8.49196
15.0,15,8.505724
30.0,30,8.533004
16.0,16,8.547025
23.0,23,8.568682
23.0,23,8.588882
17.0,17,8.606161
21.0,21,8.625023
32.0,32,8.65314
25.0,25,8.675886
33.0,33,8.706784
15.0,15,8.720405
21.0,21,8.739038
24.0,24,8.761274
29.0,29,8.788134
24.0,24,8.810329
17.0,17,8.824932
26.0,26,8.84804
22.0,22,8.869337
25.0,25,8.892184
25.0,25,8.916626
17.0,17,8.931913
24.0,24,8.954175
13.0,13,8.964671
14.0,14,8.977841
22.0,22,8.999062
24.0,24,9.019018
20.0,20,9.037398
17.0,17,9.055534
12.0,12,9.06561
16.0,16,9.079769
17.0,17,9.096723
9.0,9,9.105439
14.0,14,9.1167
13.0,13,9.130029
17.0,17,9.144749
17.0,17,9.161518
15.0,15,9.175115
25.0,25,9.197845
23.0,23,9.217323
15.0,15,9.230932
20.0,20,9.24917
20.0,20,9.267334
27.0,27,9.293214
23.0,23,9.312782
19.0,19,9.330447
14.0,14,9.343686
19.0,19,9.36144
17.0,17,9.376033
17.0,17,9.39283
23.0,23,9.412415
20.0,20,9.430497
18.0,18,9.447656
20.0,20,9.465721
18.0,18,9.480628
21.0,21,9.501385
17.0,17,9.5159
20.0,20,9.534106
23.0,23,9.555873
20.0,20,9.573972
17.0,17,9.588715
