#{"t_start": 1710948568.40357, "env_id": "CartPole-v1"}
r,l,t
19.0,19,0.01968
22.0,22,0.041116
20.0,20,0.059097
26.0,26,0.082047
33.0,33,0.110427
35.0,35,0.141802
13.0,13,0.154454
12.0,12,0.164417
14.0,14,0.177503
16.0,16,0.191463
13.0,13,0.204091
10.0,10,0.213152
28.0,28,0.239247
29.0,29,0.263722
17.0,17,0.28042
19.0,19,0.297997
13.0,13,0.308454
14.0,14,0.32151
18.0,18,0.338575
25.0,25,0.361074
16.0,16,0.375088
14.0,14,0.388195
14.0,14,0.399349
16.0,16,0.415705
10.0,10,0.42546
20.0,20,0.443639
11.0,11,0.453191
21.0,21,0.471767
46.0,46,0.512791
62.0,62,0.570093
32.0,32,0.598194
10.0,10,0.607283
30.0,30,0.634444
19.0,19,0.652144
11.0,11,0.661712
15.0,15,0.675307
32.0,32,0.703352
29.0,29,0.730605
18.0,18,0.747795
14.0,14,0.760962
12.0,12,0.771785
29.0,29,0.799103
15.0,15,0.81285
25.0,25,0.835722
82.0,82,0.912435
18.0,18,0.932036
22.0,22,0.952904
44.0,44,0.998633
42.0,42,1.039964
19.0,19,1.059117
13.0,13,1.073033
21.0,21,1.092628
17.0,17,1.107403
32.0,32,1.137653
18.0,18,1.15273
19.0,19,1.170958
25.0,25,1.19662
26.0,26,1.22598
31.0,31,1.26237
16.0,16,1.279787
39.0,39,1.324404
26.0,26,1.353073
18.0,18,1.371434
22.0,22,1.394507
24.0,24,1.41705
36.0,36,1.449511
22.0,22,1.468599
10.0,10,1.477667
16.0,16,1.491696
19.0,19,1.509375
12.0,12,1.521574
37.0,37,1.55438
40.0,40,1.590473
10.0,10,1.599537
26.0,26,1.622695
46.0,46,1.663882
22.0,22,1.685353
74.0,74,1.765061
27.0,27,1.797341
49.0,49,1.853874
16.0,16,1.871455
23.0,23,1.897915
10.0,10,1.909928
16.0,16,1.928348
20.0,20,1.951895
23.0,23,1.973908
13.0,13,1.987653
20.0,20,2.005959
9.0,9,2.014553
21.0,21,2.033525
25.0,25,2.056338
12.0,12,2.066352
15.0,15,2.080078
13.0,13,2.092827
12.0,12,2.102857
9.0,9,2.111529
24.0,24,2.135811
30.0,30,2.165321
35.0,35,2.20258
29.0,29,2.232844
15.0,15,2.247849
18.0,18,2.263283
9.0,9,2.272277
77.0,77,2.344752
17.0,17,2.359709
13.0,13,2.372589
19.0,19,2.388093
21.0,21,2.408905
13.0,13,2.419409
21.0,21,2.438114
15.0,15,2.451798
26.0,26,2.478611
14.0,14,2.490646
25.0,25,2.51522
11.0,11,2.527727
18.0,18,2.543108
21.0,21,2.561819
11.0,11,2.573595
24.0,24,2.593799
14.0,14,2.606935
10.0,10,2.616051
9.0,9,2.624681
16.0,16,2.638836
20.0,20,2.656981
12.0,12,2.669169
29.0,29,2.693641
14.0,14,2.706883
22.0,22,2.729955
11.0,11,2.739627
12.0,12,2.749699
27.0,27,2.779732
23.0,23,2.801129
15.0,15,2.815755
15.0,15,2.829638
15.0,15,2.843443
13.0,13,2.860298
23.0,23,2.880474
10.0,10,2.889848
9.0,9,2.89851
15.0,15,2.912263
19.0,19,2.935197
10.0,10,2.945086
9.0,9,2.954075
12.0,12,2.964163
14.0,14,2.97728
10.0,10,2.986331
9.0,9,2.994901
10.0,10,3.003971
11.0,11,3.013465
12.0,12,3.023723
15.0,15,3.037704
11.0,11,3.049683
14.0,14,3.060723
11.0,11,3.073284
10.0,10,3.083325
12.0,12,3.094283
11.0,11,3.104826
9.0,9,3.114181
13.0,13,3.128111
47.0,47,3.173538
9.0,9,3.183035
13.0,13,3.194242
13.0,13,3.208211
23.0,23,3.232107
9.0,9,3.239091
18.0,18,3.257953
10.0,10,3.267977
10.0,10,3.277524
19.0,19,3.296458
21.0,21,3.316661
9.0,9,3.325984
21.0,21,3.346085
15.0,15,3.360843
13.0,13,3.374612
22.0,22,3.394645
11.0,11,3.405319
12.0,12,3.418503
11.0,11,3.428514
16.0,16,3.443869
13.0,13,3.457792
12.0,12,3.468966
16.0,16,3.483809
12.0,12,3.49659
12.0,12,3.507395
12.0,12,3.518497
13.0,13,3.532594
14.0,14,3.546284
11.0,11,3.556369
11.0,11,3.566232
13.0,13,3.579023
13.0,13,3.590155
9.0,9,3.599016
12.0,12,3.611418
10.0,10,3.620662
17.0,17,3.635385
12.0,12,3.645463
14.0,14,3.659113
15.0,15,3.673944
10.0,10,3.685824
10.0,10,3.695675
19.0,19,3.71456
12.0,12,3.724723
25.0,25,3.747723
10.0,10,3.756862
13.0,13,3.769692
11.0,11,3.779482
15.0,15,3.793327
34.0,34,3.829594
10.0,10,3.840929
15.0,15,3.856439
14.0,14,3.871055
13.0,13,3.882499
13.0,13,3.897077
14.0,14,3.911881
19.0,19,3.931789
12.0,12,3.943046
13.0,13,3.957063
14.0,14,3.969812
12.0,12,3.983464
19.0,19,4.002383
10.0,10,4.011487
22.0,22,4.030813
15.0,15,4.044628
21.0,21,4.063253
20.0,20,4.081288
15.0,15,4.094914
12.0,12,4.107988
21.0,21,4.126648
22.0,22,4.146519
14.0,14,4.159734
15.0,15,4.174001
18.0,18,4.19179
12.0,12,4.201951
29.0,29,4.229972
26.0,26,4.254944
11.0,11,4.265391
13.0,13,4.278694
14.0,14,4.292177
25.0,25,4.315966
