#{"t_start": 1710948577.9964342, "env_id": "CartPole-v1"}
r,l,t
11.0,11,0.160466
15.0,15,0.161479
16.0,16,0.162634
20.0,20,0.163959
53.0,53,0.167411
14.0,14,0.16837
15.0,15,0.169454
11.0,11,0.170183
35.0,35,0.172475
19.0,19,0.173741
14.0,14,0.174753
17.0,17,0.175905
30.0,30,0.177841
37.0,37,0.18024
25.0,25,0.181974
17.0,17,0.183138
26.0,26,0.184828
19.0,19,0.186092
37.0,37,0.188603
10.0,10,0.189372
26.0,26,0.191156
16.0,16,0.192291
14.0,14,0.193373
20.0,20,0.194709
17.0,17,0.195835
46.0,46,0.19886
12.0,12,0.200128
14.0,14,0.201651
13.0,13,0.203432
74.0,74,0.209914
20.0,20,0.211656
23.0,23,0.213359
26.0,26,0.215145
12.0,12,0.216093
21.0,21,0.217886
11.0,11,0.218729
40.0,40,0.22153
15.0,15,0.222557
10.0,10,0.22338
13.0,13,0.224296
10.0,10,0.224976
20.0,20,0.226464
14.0,14,0.227556
14.0,14,0.228497
12.0,12,0.229352
20.0,20,0.230798
11.0,11,0.231665
14.0,14,0.232617
22.0,22,0.234123
17.0,17,0.23533
21.0,21,0.236824
43.0,43,0.239673
15.0,15,0.24069
21.0,21,0.242138
12.0,12,0.243084
11.0,11,0.243854
12.0,12,0.244676
22.0,22,0.246114
41.0,41,0.248925
56.0,56,0.252699
32.0,32,0.254859
29.0,29,0.256805
11.0,11,0.257669
38.0,38,0.260236
29.0,29,0.262129
15.0,15,0.263188
8.0,8,0.263842
23.0,23,0.265415
26.0,26,0.267165
60.0,60,0.271152
12.0,12,0.272077
33.0,33,0.274345
20.0,20,0.275689
20.0,20,0.277018
18.0,18,0.278277
13.0,13,0.27916
25.0,25,0.280827
11.0,11,0.281559
12.0,12,0.28248
30.0,30,0.284531
25.0,25,0.286211
24.0,24,0.287848
19.0,19,0.289283
17.0,17,0.290472
20.0,20,0.291918
12.0,12,0.292763
25.0,25,0.294489
11.0,11,0.295261
75.0,75,0.300167
16.0,16,0.301268
31.0,31,0.303589
15.0,15,0.304577
10.0,10,0.305333
20.0,20,0.306673
22.0,22,0.308188
22.0,22,0.30966
19.0,19,0.310976
16.0,16,0.312079
14.0,14,0.313108
20.0,20,0.314473
27.0,27,0.316345
13.0,13,0.317273
16.0,16,0.31842
10.0,10,0.319136
12.0,12,0.319958
14.0,14,0.320905
16.0,16,0.322092
25.0,25,0.323862
18.0,18,0.325159
25.0,25,0.326931
38.0,38,0.329706
29.0,29,0.331742
28.0,28,0.333699
37.0,37,0.336208
11.0,11,0.337075
11.0,11,0.337863
13.0,13,0.338826
23.0,23,0.340408
18.0,18,0.341717
13.0,13,0.342642
18.0,18,0.34393
29.0,29,0.345947
30.0,30,0.348119
11.0,11,0.348864
51.0,51,0.352303
9.0,9,0.352978
12.0,12,0.35391
12.0,12,0.35481
17.0,17,0.356054
57.0,57,0.359839
23.0,23,0.361447
33.0,33,0.363679
13.0,13,0.364583
19.0,19,0.365892
12.0,12,0.366837
12.0,12,0.367685
27.0,27,0.369515
8.0,8,0.370094
21.0,21,0.371621
50.0,50,0.374928
13.0,13,0.375843
20.0,20,0.377176
19.0,19,0.378498
33.0,33,0.380713
10.0,10,0.381397
35.0,35,0.383767
25.0,25,0.385549
18.0,18,0.386809
16.0,16,0.387915
10.0,10,0.388614
51.0,51,0.392176
45.0,45,0.39514
18.0,18,0.396422
23.0,23,0.397967
16.0,16,0.399167
15.0,15,0.400221
16.0,16,0.401325
41.0,41,0.404117
11.0,11,0.404958
34.0,34,0.407209
18.0,18,0.408402
37.0,37,0.410805
16.0,16,0.411994
18.0,18,0.413281
9.0,9,0.413918
31.0,31,0.416018
14.0,14,0.417099
19.0,19,0.418417
45.0,45,0.421333
20.0,20,0.422671
15.0,15,0.42377
24.0,24,0.425357
31.0,31,0.427494
21.0,21,0.429034
25.0,25,0.430788
19.0,19,0.432083
10.0,10,0.432789
17.0,17,0.433925
29.0,29,0.435941
22.0,22,0.437422
18.0,18,0.438693
34.0,34,0.440991
11.0,11,0.441822
36.0,36,0.44431
35.0,35,0.446647
17.0,17,0.447811
23.0,23,0.449461
29.0,29,0.451447
40.0,40,0.454146
15.0,15,0.455177
27.0,27,0.457043
30.0,30,0.459008
18.0,18,0.460229
17.0,17,0.461363
25.0,25,0.463094
12.0,12,0.463939
31.0,31,0.466039
17.0,17,0.467223
14.0,14,0.468297
48.0,48,0.471502
11.0,11,0.472322
17.0,17,0.47346
15.0,15,0.474564
19.0,19,0.475865
50.0,50,0.479202
15.0,15,0.480226
22.0,22,0.481745
23.0,23,0.483283
36.0,36,0.485637
18.0,18,0.48683
26.0,26,0.488646
13.0,13,0.489603
14.0,14,0.490593
23.0,23,0.492152
14.0,14,0.493222
15.0,15,0.494274
27.0,27,0.496139
23.0,23,0.49764
29.0,29,0.499674
25.0,25,0.501351
11.0,11,0.502088
32.0,32,0.504275
41.0,41,0.507072
30.0,30,0.509052
21.0,21,0.510472
9.0,9,0.511129
42.0,42,0.513933
56.0,56,0.517618
48.0,48,0.520858
39.0,39,0.523453
16.0,16,0.524609
18.0,18,0.525797
17.0,17,0.526963
27.0,27,0.528718
10.0,10,0.529507
16.0,16,0.530589
14.0,14,0.531528
16.0,16,0.532604
35.0,35,0.535054
16.0,16,0.536168
12.0,12,0.537013
16.0,16,0.538123
15.0,15,0.539269
13.0,13,0.540212
17.0,17,0.541384
53.0,53,0.544857
18.0,18,0.546128
11.0,11,0.546906
14.0,14,0.547845
20.0,20,0.549183
36.0,36,0.551618
29.0,29,0.553579
16.0,16,0.554664
10.0,10,0.555346
14.0,14,0.556383
20.0,20,0.557716
15.0,15,0.558709
13.0,13,0.559619
18.0,18,0.560883
14.0,14,0.561864
23.0,23,0.563408
10.0,10,0.564138
25.0,25,0.565935
26.0,26,0.567706
36.0,36,0.57005
12.0,12,0.570884
24.0,24,0.572584
10.0,10,0.573285
16.0,16,0.574389
18.0,18,0.575652
26.0,26,0.577474
20.0,20,0.578919
62.0,62,0.582948
20.0,20,0.585182
13.0,13,0.586301
51.0,51,0.589765
17.0,17,0.590986
27.0,27,0.592872
27.0,27,0.594743
21.0,21,0.596162
24.0,24,0.59782
15.0,15,0.598898
17.0,17,0.600166
9.0,9,0.600792
18.0,18,0.601978
35.0,35,0.604319
10.0,10,0.605103
34.0,34,0.607322
9.0,9,0.607971
18.0,18,0.609256
15.0,15,0.610382
14.0,14,0.611371
8.0,8,0.611934
21.0,21,0.613322
11.0,11,0.614158
27.0,27,0.615947
23.0,23,0.617473
12.0,12,0.618292
20.0,20,0.619708
17.0,17,0.620847
15.0,15,0.621859
10.0,10,0.622538
55.0,55,0.626203
15.0,15,0.627285
17.0,17,0.628447
12.0,12,0.629286
11.0,11,0.630146
13.0,13,0.631091
93.0,93,0.637138
15.0,15,0.638164
10.0,10,0.63892
14.0,14,0.63989
14.0,14,0.640821
24.0,24,0.642405
21.0,21,0.6439
14.0,14,0.644834
33.0,33,0.646983
33.0,33,0.649158
23.0,23,0.650738
13.0,13,0.651705
12.0,12,0.652562
47.0,47,0.655721
20.0,20,0.657184
21.0,21,0.658601
13.0,13,0.659536
29.0,29,0.661495
68.0,68,0.66606
26.0,26,0.667852
34.0,34,0.670153
15.0,15,0.671229
14.0,14,0.672287
32.0,32,0.674424
32.0,32,0.676524
16.0,16,0.677601
26.0,26,0.679438
15.0,15,0.680486
16.0,16,0.681588
22.0,22,0.683104
17.0,17,0.684342
23.0,23,0.685914
28.0,28,0.687794
12.0,12,0.688618
20.0,20,0.690075
15.0,15,0.691144
24.0,24,0.692739
