#{"t_start": 1710948577.9964342, "env_id": "CartPole-v1"}
r,l,t
17.0,17,0.003734
23.0,23,0.005254
21.0,21,0.006643
14.0,14,0.007556
13.0,13,0.008477
34.0,34,0.01076
14.0,14,0.011703
41.0,41,0.014365
11.0,11,0.015224
19.0,19,0.016547
13.0,13,0.017428
18.0,18,0.018652
11.0,11,0.019471
68.0,68,0.023902
15.0,15,0.024885
20.0,20,0.026212
11.0,11,0.027064
30.0,30,0.029042
22.0,22,0.030484
16.0,16,0.031567
21.0,21,0.033004
17.0,17,0.034165
23.0,23,0.03568
10.0,10,0.03642
27.0,27,0.038274
22.0,22,0.039763
18.0,18,0.040991
32.0,32,0.043078
29.0,29,0.045049
12.0,12,0.045898
18.0,18,0.047103
15.0,15,0.048121
11.0,11,0.048944
39.0,39,0.051498
11.0,11,0.052229
11.0,11,0.05299
53.0,53,0.057186
17.0,17,0.058448
25.0,25,0.060115
39.0,39,0.062673
23.0,23,0.064257
32.0,32,0.06638
33.0,33,0.068575
16.0,16,0.069649
16.0,16,0.070807
12.0,12,0.071636
17.0,17,0.072768
11.0,11,0.073528
14.0,14,0.074518
17.0,17,0.075677
11.0,11,0.076434
32.0,32,0.078503
16.0,16,0.07964
22.0,22,0.081117
11.0,11,0.081872
25.0,25,0.083568
11.0,11,0.084362
11.0,11,0.085124
23.0,23,0.086644
26.0,26,0.088331
11.0,11,0.089198
16.0,16,0.090269
15.0,15,0.091311
22.0,22,0.092738
16.0,16,0.093869
19.0,19,0.095138
22.0,22,0.096596
24.0,24,0.098163
11.0,11,0.098977
17.0,17,0.100159
37.0,37,0.102531
31.0,31,0.104593
15.0,15,0.105644
14.0,14,0.1066
34.0,34,0.108804
14.0,14,0.109803
27.0,27,0.111671
24.0,24,0.113254
59.0,59,0.117021
46.0,46,0.120084
54.0,54,0.123734
25.0,25,0.125461
33.0,33,0.127658
19.0,19,0.128921
30.0,30,0.130933
30.0,30,0.132896
18.0,18,0.134077
36.0,36,0.136425
22.0,22,0.13796
55.0,55,0.141474
14.0,14,0.142435
23.0,23,0.143952
19.0,19,0.145257
19.0,19,0.146525
10.0,10,0.147243
14.0,14,0.148194
22.0,22,0.149766
13.0,13,0.150668
12.0,12,0.151505
21.0,21,0.152919
13.0,13,0.153937
19.0,19,0.155198
18.0,18,0.156454
15.0,15,0.157436
20.0,20,0.158834
13.0,13,0.159737
