#{"t_start": 1710948579.39732, "env_id": "CartPole-v1"}
r,l,t
10.0,10,0.023338
23.0,23,0.024944
17.0,17,0.026135
10.0,10,0.02682
16.0,16,0.027984
21.0,21,0.029504
20.0,20,0.030915
17.0,17,0.032074
29.0,29,0.03419
11.0,11,0.03498
16.0,16,0.036094
16.0,16,0.03722
47.0,47,0.040539
16.0,16,0.041707
16.0,16,0.042871
27.0,27,0.044721
16.0,16,0.045894
14.0,14,0.046896
16.0,16,0.047999
20.0,20,0.049392
17.0,17,0.05064
15.0,15,0.051723
38.0,38,0.054278
10.0,10,0.055026
13.0,13,0.056009
23.0,23,0.05766
19.0,19,0.059014
12.0,12,0.059875
22.0,22,0.061446
19.0,19,0.062795
42.0,42,0.065648
16.0,16,0.066813
17.0,17,0.068153
24.0,24,0.069782
24.0,24,0.071408
18.0,18,0.072623
14.0,14,0.073705
11.0,11,0.074487
22.0,22,0.076053
25.0,25,0.077791
53.0,53,0.081454
35.0,35,0.083957
23.0,23,0.085565
20.0,20,0.086938
37.0,37,0.089539
30.0,30,0.091584
15.0,15,0.092592
10.0,10,0.093354
13.0,13,0.094338
17.0,17,0.095529
19.0,19,0.096864
33.0,33,0.099122
34.0,34,0.101534
11.0,11,0.102343
20.0,20,0.103734
22.0,22,0.105242
24.0,24,0.106972
12.0,12,0.107831
20.0,20,0.109219
21.0,21,0.110678
24.0,24,0.112407
24.0,24,0.114076
22.0,22,0.115624
15.0,15,0.116688
33.0,33,0.119068
34.0,34,0.121319
22.0,22,0.122872
15.0,15,0.123951
18.0,18,0.125261
58.0,58,0.129215
19.0,19,0.130538
23.0,23,0.132145
14.0,14,0.133219
18.0,18,0.134466
20.0,20,0.135862
22.0,22,0.137427
10.0,10,0.138228
16.0,16,0.139325
32.0,32,0.141454
12.0,12,0.142294
16.0,16,0.14346
49.0,49,0.146778
25.0,25,0.14852
15.0,15,0.149549
13.0,13,0.150577
12.0,12,0.151431
15.0,15,0.152462
28.0,28,0.154427
20.0,20,0.155906
11.0,11,0.156687
22.0,22,0.158194
15.0,15,0.159197
17.0,17,0.160454
9.0,9,0.161106
20.0,20,0.162521
28.0,28,0.164438
14.0,14,0.165477
32.0,32,0.167683
11.0,11,0.168483
17.0,17,0.169658
12.0,12,0.170591
13.0,13,0.171569
16.0,16,0.17271
13.0,13,0.173601
11.0,11,0.174452
17.0,17,0.175603
22.0,22,0.177082
11.0,11,0.177886
21.0,21,0.179405
19.0,19,0.180743
29.0,29,0.182732
42.0,42,0.185626
12.0,12,0.186589
37.0,37,0.189029
23.0,23,0.190636
25.0,25,0.192336
17.0,17,0.193585
14.0,14,0.194609
37.0,37,0.19711
17.0,17,0.198292
12.0,12,0.199222
9.0,9,0.199908
13.0,13,0.200818
12.0,12,0.201669
13.0,13,0.202679
12.0,12,0.203572
21.0,21,0.204977
24.0,24,0.206596
22.0,22,0.208189
28.0,28,0.210117
20.0,20,0.211508
16.0,16,0.212628
17.0,17,0.213898
16.0,16,0.215028
15.0,15,0.216096
14.0,14,0.217065
14.0,14,0.218157
11.0,11,0.218957
12.0,12,0.219858
21.0,21,0.221244
26.0,26,0.22309
18.0,18,0.224344
14.0,14,0.22529
33.0,33,0.22753
25.0,25,0.229278
25.0,25,0.230974
12.0,12,0.231848
13.0,13,0.232739
17.0,17,0.234006
18.0,18,0.235227
18.0,18,0.236506
43.0,43,0.239449
20.0,20,0.240913
30.0,30,0.243621
30.0,30,0.246496
26.0,26,0.248379
20.0,20,0.24992
10.0,10,0.25061
15.0,15,0.251659
16.0,16,0.252756
21.0,21,0.25434
19.0,19,0.255682
11.0,11,0.256482
16.0,16,0.257668
18.0,18,0.259221
17.0,17,0.260413
18.0,18,0.261662
42.0,42,0.264493
16.0,16,0.265659
13.0,13,0.266593
44.0,44,0.269506
13.0,13,0.270401
19.0,19,0.271766
17.0,17,0.272984
20.0,20,0.274418
18.0,18,0.275695
15.0,15,0.276796
54.0,54,0.280478
10.0,10,0.281231
13.0,13,0.282221
16.0,16,0.283424
35.0,35,0.285728
12.0,12,0.286615
37.0,37,0.289104
18.0,18,0.290544
19.0,19,0.291908
16.0,16,0.293034
20.0,20,0.294445
20.0,20,0.295993
19.0,19,0.297291
20.0,20,0.298656
19.0,19,0.299997
63.0,63,0.304376
14.0,14,0.305409
29.0,29,0.307356
15.0,15,0.308388
19.0,19,0.309719
15.0,15,0.310762
39.0,39,0.313395
15.0,15,0.314491
38.0,38,0.31713
40.0,40,0.319856
22.0,22,0.32139
43.0,43,0.324301
14.0,14,0.325381
15.0,15,0.326459
16.0,16,0.327585
26.0,26,0.329392
16.0,16,0.330569
11.0,11,0.33135
14.0,14,0.332294
23.0,23,0.333858
23.0,23,0.335539
10.0,10,0.336264
13.0,13,0.337254
11.0,11,0.338048
55.0,55,0.341775
39.0,39,0.344425
10.0,10,0.345155
10.0,10,0.345905
23.0,23,0.347579
32.0,32,0.349779
41.0,41,0.352568
13.0,13,0.353482
9.0,9,0.354211
84.0,84,0.35982
15.0,15,0.360872
12.0,12,0.361705
30.0,30,0.363911
15.0,15,0.36494
22.0,22,0.366494
10.0,10,0.367238
38.0,38,0.369896
9.0,9,0.370531
36.0,36,0.37294
12.0,12,0.373826
19.0,19,0.37525
19.0,19,0.376582
40.0,40,0.379311
36.0,36,0.381772
39.0,39,0.384474
12.0,12,0.385329
26.0,26,0.387152
24.0,24,0.388874
15.0,15,0.390033
16.0,16,0.391129
38.0,38,0.393625
18.0,18,0.394899
16.0,16,0.396137
26.0,26,0.397908
14.0,14,0.398916
13.0,13,0.399828
15.0,15,0.400961
18.0,18,0.402202
22.0,22,0.403761
15.0,15,0.404814
48.0,48,0.408204
17.0,17,0.409431
45.0,45,0.412519
19.0,19,0.413855
20.0,20,0.415349
25.0,25,0.417062
62.0,62,0.421155
42.0,42,0.424065
12.0,12,0.424995
10.0,10,0.425698
13.0,13,0.42666
25.0,25,0.428408
13.0,13,0.429414
32.0,32,0.431568
13.0,13,0.432456
13.0,13,0.43338
27.0,27,0.43532
13.0,13,0.436275
25.0,25,0.437993
15.0,15,0.439057
28.0,28,0.441049
39.0,39,0.443688
22.0,22,0.445234
18.0,18,0.446475
28.0,28,0.448476
39.0,39,0.451133
23.0,23,0.452692
43.0,43,0.45568
114.0,114,0.463354
14.0,14,0.464378
52.0,52,0.467937
15.0,15,0.468969
22.0,22,0.470602
14.0,14,0.471572
11.0,11,0.472372
14.0,14,0.473378
14.0,14,0.474438
44.0,44,0.477418
12.0,12,0.478283
22.0,22,0.479871
18.0,18,0.4812
15.0,15,0.482259
16.0,16,0.483356
14.0,14,0.484303
23.0,23,0.485932
40.0,40,0.488674
19.0,19,0.49006
11.0,11,0.490861
18.0,18,0.49218
14.0,14,0.493187
22.0,22,0.494717
25.0,25,0.49644
21.0,21,0.497962
22.0,22,0.499427
21.0,21,0.500846
20.0,20,0.502292
16.0,16,0.503494
34.0,34,0.505842
23.0,23,0.507445
22.0,22,0.508949
14.0,14,0.510031
20.0,20,0.511452
21.0,21,0.51291
12.0,12,0.51375
16.0,16,0.514926
21.0,21,0.516342
21.0,21,0.517762
16.0,16,0.518859
13.0,13,0.51987
11.0,11,0.520655
25.0,25,0.522427
19.0,19,0.523717
15.0,15,0.524931
20.0,20,0.526367
15.0,15,0.527416
65.0,65,0.531779
27.0,27,0.533721
22.0,22,0.536091
25.0,25,0.538385
42.0,42,0.541192
21.0,21,0.542717
14.0,14,0.543705
13.0,13,0.544593
23.0,23,0.546225
15.0,15,0.547361
14.0,14,0.548307
14.0,14,0.549313
12.0,12,0.550191
19.0,19,0.551519
27.0,27,0.553358
23.0,23,0.555005
12.0,12,0.555862
25.0,25,0.557639
12.0,12,0.558547
11.0,11,0.559345
14.0,14,0.560308
17.0,17,0.561597
25.0,25,0.563319
61.0,61,0.567471
15.0,15,0.568538
24.0,24,0.570264
16.0,16,0.571416
50.0,50,0.574743
21.0,21,0.576235
18.0,18,0.577545
22.0,22,0.579099
25.0,25,0.580847
24.0,24,0.582483
29.0,29,0.584485
16.0,16,0.585578
19.0,19,0.586885
17.0,17,0.588083
33.0,33,0.590446
19.0,19,0.591779
47.0,47,0.594976
15.0,15,0.596033
10.0,10,0.596808
17.0,17,0.597995
59.0,59,0.602002
11.0,11,0.60278
25.0,25,0.604516
21.0,21,0.605952
14.0,14,0.606965
20.0,20,0.608353
53.0,53,0.612003
24.0,24,0.613657
17.0,17,0.614885
12.0,12,0.615742
29.0,29,0.617866
13.0,13,0.618781
22.0,22,0.620281
14.0,14,0.62129
72.0,72,0.626304
19.0,19,0.627655
16.0,16,0.628721
17.0,17,0.630036
14.0,14,0.631089
11.0,11,0.631897
22.0,22,0.633456
12.0,12,0.6344
17.0,17,0.635679
14.0,14,0.636668
11.0,11,0.637503
21.0,21,0.638969
43.0,43,0.641959
26.0,26,0.643749
49.0,49,0.647119
17.0,17,0.648313
14.0,14,0.649406
23.0,23,0.651025
38.0,38,0.653643
20.0,20,0.655055
16.0,16,0.65626
14.0,14,0.657275
25.0,25,0.659046
18.0,18,0.660263
19.0,19,0.661641
23.0,23,0.663258
26.0,26,0.665026
8.0,8,0.665612
14.0,14,0.666955
17.0,17,0.668308
18.0,18,0.669594
19.0,19,0.670984
21.0,21,0.672552
28.0,28,0.674472
39.0,39,0.677144
9.0,9,0.677791
39.0,39,0.680504
38.0,38,0.683182
22.0,22,0.68469
52.0,52,0.688261
11.0,11,0.68914
30.0,30,0.691221
17.0,17,0.692473
12.0,12,0.693327
16.0,16,0.69458
32.0,32,0.696814
15.0,15,0.697869
42.0,42,0.700675
17.0,17,0.701902
12.0,12,0.70274
15.0,15,0.703817
18.0,18,0.705051
20.0,20,0.706541
11.0,11,0.707346
