#{"t_start": 1710948559.808408, "env_id": "CartPole-v1"}
r,l,t
39.0,39,0.03616
26.0,26,0.057424
21.0,21,0.076385
8.0,8,0.081908
42.0,42,0.118042
25.0,25,0.13887
20.0,20,0.155502
14.0,14,0.165588
22.0,22,0.185031
12.0,12,0.194251
14.0,14,0.206349
13.0,13,0.218227
67.0,67,0.27408
16.0,16,0.286956
13.0,13,0.300403
14.0,14,0.314037
21.0,21,0.336479
14.0,14,0.352528
29.0,29,0.382963
29.0,29,0.416257
14.0,14,0.432748
18.0,18,0.452294
16.0,16,0.469123
17.0,17,0.486822
16.0,16,0.503642
32.0,32,0.54092
12.0,12,0.550515
34.0,34,0.579792
61.0,61,0.630138
13.0,13,0.64172
99.0,99,0.724188
25.0,25,0.744997
14.0,14,0.755099
14.0,14,0.767121
32.0,32,0.794691
11.0,11,0.803512
21.0,21,0.820588
27.0,27,0.842287
27.0,27,0.865858
12.0,12,0.875088
17.0,17,0.890309
28.0,28,0.91371
27.0,27,0.937409
17.0,17,0.950751
34.0,34,0.979292
39.0,39,1.01184
11.0,11,1.020643
15.0,15,1.034625
16.0,16,1.048424
30.0,30,1.074033
36.0,36,1.103474
21.0,21,1.121391
12.0,12,1.133338
31.0,31,1.160335
12.0,12,1.170299
23.0,23,1.191923
16.0,16,1.206002
40.0,40,1.241787
27.0,27,1.266336
14.0,14,1.277258
22.0,22,1.297099
18.0,18,1.31086
55.0,55,1.356475
47.0,47,1.396839
12.0,12,1.406064
30.0,30,1.431175
28.0,28,1.455287
11.0,11,1.464137
28.0,28,1.488166
12.0,12,1.497406
14.0,14,1.510227
14.0,14,1.52509
15.0,15,1.541325
49.0,49,1.589938
27.0,27,1.618413
12.0,12,1.630481
15.0,15,1.645769
9.0,9,1.65489
49.0,49,1.704659
51.0,51,1.755081
22.0,22,1.775881
18.0,18,1.792239
35.0,35,1.82152
15.0,15,1.834106
24.0,24,1.85451
15.0,15,1.867029
26.0,26,1.889568
15.0,15,1.903226
13.0,13,1.916603
55.0,55,1.967371
15.0,15,1.981504
10.0,10,1.992767
12.0,12,2.002273
14.0,14,2.015247
13.0,13,2.025126
19.0,19,2.041398
27.0,27,2.064989
14.0,14,2.075084
12.0,12,2.086218
15.0,15,2.099532
17.0,17,2.112942
13.0,13,2.124647
16.0,16,2.13762
29.0,29,2.162948
20.0,20,2.179673
27.0,27,2.201277
39.0,39,2.234025
21.0,21,2.251464
33.0,33,2.280758
15.0,15,2.293318
11.0,11,2.3021
28.0,28,2.326135
27.0,27,2.347836
16.0,16,2.36075
42.0,42,2.398745
12.0,12,2.408092
21.0,21,2.425345
17.0,17,2.440674
18.0,18,2.454565
26.0,26,2.475774
25.0,25,2.496637
38.0,38,2.529649
35.0,35,2.561198
11.0,11,2.571831
18.0,18,2.59163
23.0,23,2.614603
30.0,30,2.646914
10.0,10,2.656019
14.0,14,2.670931
18.0,18,2.690792
22.0,22,2.713101
11.0,11,2.722638
21.0,21,2.747432
22.0,22,2.768429
14.0,14,2.783727
14.0,14,2.798548
27.0,27,2.821248
17.0,17,2.834772
27.0,27,2.858488
39.0,39,2.891396
25.0,25,2.912154
12.0,12,2.92139
13.0,13,2.933007
12.0,12,2.942242
15.0,15,2.954733
12.0,12,2.963958
16.0,16,2.978877
9.0,9,2.984825
15.0,15,2.997242
18.0,18,3.012905
11.0,11,3.021665
14.0,14,3.033733
13.0,13,3.045333
13.0,13,3.054999
42.0,42,3.090906
13.0,13,3.100512
20.0,20,3.117261
32.0,32,3.145785
42.0,42,3.179639
13.0,13,3.191224
15.0,15,3.203635
22.0,22,3.221105
13.0,13,3.232804
12.0,12,3.242028
22.0,22,3.259508
10.0,10,3.268448
11.0,11,3.279992
19.0,19,3.29443
11.0,11,3.30525
16.0,16,3.318162
29.0,29,3.342694
11.0,11,3.351504
9.0,9,3.359384
24.0,24,3.377827
16.0,16,3.392745
12.0,12,3.401974
12.0,12,3.411373
10.0,10,3.424224
12.0,12,3.435516
18.0,18,3.449273
15.0,15,3.462137
12.0,12,3.473278
12.0,12,3.482442
42.0,42,3.518615
16.0,16,3.531578
10.0,10,3.539968
11.0,11,3.548734
19.0,19,3.564825
23.0,23,3.582633
9.0,9,3.590478
12.0,12,3.601584
16.0,16,3.614444
10.0,10,3.623007
10.0,10,3.63144
14.0,14,3.643411
12.0,12,3.652602
10.0,10,3.660923
12.0,12,3.670079
13.0,13,3.681736
9.0,9,3.689669
22.0,22,3.707207
9.0,9,3.715135
12.0,12,3.724442
16.0,16,3.739348
11.0,11,3.748161
13.0,13,3.757836
19.0,19,3.774012
13.0,13,3.785589
19.0,19,3.801962
17.0,17,3.815492
12.0,12,3.824693
11.0,11,3.835443
14.0,14,3.84554
10.0,10,3.853913
10.0,10,3.86224
11.0,11,3.872997
24.0,24,3.891402
12.0,12,3.902577
14.0,14,3.91461
10.0,10,3.922955
19.0,19,3.937185
30.0,30,3.9622
10.0,10,3.970564
11.0,11,3.981308
10.0,10,3.989639
26.0,26,4.010815
17.0,17,4.024188
14.0,14,4.036318
44.0,44,4.073161
10.0,10,4.081504
10.0,10,4.089817
14.0,14,4.101835
14.0,14,4.111941
37.0,37,4.143872
9.0,9,4.151785
14.0,14,4.16185
12.0,12,4.173034
19.0,19,4.189278
30.0,30,4.214214
49.0,49,4.253327
21.0,21,4.272344
15.0,15,4.285371
17.0,17,4.299447
10.0,10,4.30788
9.0,9,4.315792
16.0,16,4.328746
28.0,28,4.352723
19.0,19,4.366964
11.0,11,4.377839
11.0,11,4.386846
29.0,29,4.411239
16.0,16,4.424285
17.0,17,4.437635
18.0,18,4.453368
23.0,23,4.471296
22.0,22,4.490714
10.0,10,4.499079
16.0,16,4.511953
17.0,17,4.525779
11.0,11,4.536511
11.0,11,4.545307
14.0,14,4.557308
11.0,11,4.566035
16.0,16,4.578922
10.0,10,4.587275
19.0,19,4.603349
18.0,18,4.617095
18.0,18,4.633019
20.0,20,4.649573
11.0,11,4.658336
10.0,10,4.666692
13.0,13,4.678279
14.0,14,4.690309
15.0,15,4.70276
13.0,13,4.712431
12.0,12,4.723577
23.0,23,4.741459
18.0,18,4.757199
9.0,9,4.765076
13.0,13,4.774709
21.0,21,4.79183
13.0,13,4.803447
12.0,12,4.812654
10.0,10,4.820972
13.0,13,4.832587
18.0,18,4.848338
12.0,12,4.857567
23.0,23,4.877473
19.0,19,4.891777
10.0,10,4.900064
13.0,13,4.911745
16.0,16,4.92518
15.0,15,4.937736
11.0,11,4.946514
14.0,14,4.958536
11.0,11,4.967328
17.0,17,4.982586
15.0,15,4.995069
16.0,16,5.007986
10.0,10,5.016322
10.0,10,5.024696
12.0,12,5.033919
9.0,9,5.041831
17.0,17,5.057121
13.0,13,5.066802
14.0,14,5.07883
10.0,10,5.087151
20.0,20,5.103752
18.0,18,5.119473
13.0,13,5.129225
20.0,20,5.145889
9.0,9,5.153906
16.0,16,5.166856
8.0,8,5.174294
12.0,12,5.183469
14.0,14,5.195478
10.0,10,5.20378
9.0,9,5.211814
10.0,10,5.220115
42.0,42,5.254036
17.0,17,5.269265
9.0,9,5.275254
25.0,25,5.29606
10.0,10,5.305036
25.0,25,5.326139
11.0,11,5.336902
16.0,16,5.349793
10.0,10,5.358157
15.0,15,5.370626
9.0,9,5.378619
10.0,10,5.387052
20.0,20,5.403815
22.0,22,5.421931
8.0,8,5.429515
11.0,11,5.43837
16.0,16,5.451266
11.0,11,5.460011
12.0,12,5.471149
17.0,17,5.484486
11.0,11,5.493258
18.0,18,5.508977
20.0,20,5.526356
14.0,14,5.539247
15.0,15,5.5519
11.0,11,5.560737
26.0,26,5.581951
20.0,20,5.598573
14.0,14,5.610614
12.0,12,5.620009
12.0,12,5.631475
33.0,33,5.658308
19.0,19,5.674802
14.0,14,5.68695
25.0,25,5.707703
9.0,9,5.71559
17.0,17,5.729136
9.0,9,5.737166
11.0,11,5.74603
9.0,9,5.753946
20.0,20,5.770633
10.0,10,5.778933
11.0,11,5.787729
10.0,10,5.796072
10.0,10,5.804436
9.0,9,5.812331
40.0,40,5.845643
26.0,26,5.867055
