#{"t_start": 1710948559.808408, "env_id": "CartPole-v1"}
r,l,t
13.0,13,5.878855
21.0,21,5.896148
15.0,15,5.908703
12.0,12,5.917995
32.0,32,5.945843
16.0,16,5.958772
15.0,15,5.971277
10.0,10,5.979625
12.0,12,5.988834
11.0,11,5.997609
11.0,11,6.008318
15.0,15,6.020811
28.0,28,6.043055
15.0,15,6.055673
11.0,11,6.064432
23.0,23,6.08428
12.0,12,6.093505
13.0,13,6.105085
19.0,19,6.121344
23.0,23,6.139531
10.0,10,6.147934
12.0,12,6.159138
44.0,44,6.195865
8.0,8,6.201382
29.0,29,6.225853
17.0,17,6.239276
19.0,19,6.255403
22.0,22,6.274945
19.0,19,6.289266
54.0,54,6.335703
11.0,11,6.344581
18.0,18,6.360439
23.0,23,6.38052
10.0,10,6.389321
16.0,16,6.402232
17.0,17,6.415599
27.0,27,6.43921
26.0,26,6.46037
12.0,12,6.469618
17.0,17,6.484853
9.0,9,6.490815
15.0,15,6.503356
15.0,15,6.515826
14.0,14,6.528351
13.0,13,6.540003
25.0,25,6.560731
11.0,11,6.569484
12.0,12,6.578631
11.0,11,6.589272
28.0,28,6.611264
20.0,20,6.628092
13.0,13,6.639807
25.0,25,6.660494
23.0,23,6.678325
43.0,43,6.714613
26.0,26,6.735805
19.0,19,6.752036
35.0,35,6.781099
20.0,20,6.79769
16.0,16,6.810566
22.0,22,6.830105
11.0,11,6.839061
28.0,28,6.861156
20.0,20,6.877836
17.0,17,6.893318
8.0,8,6.89886
10.0,10,6.907185
30.0,30,6.931965
12.0,12,6.943082
9.0,9,6.951002
39.0,39,6.981903
31.0,31,7.009115
11.0,11,7.017905
18.0,18,7.031721
27.0,27,7.055292
11.0,11,7.064059
13.0,13,7.075663
9.0,9,7.08166
32.0,32,7.109161
34.0,34,7.137845
15.0,15,7.150375
13.0,13,7.159997
15.0,15,7.17238
10.0,10,7.180741
10.0,10,7.189032
10.0,10,7.197309
9.0,9,7.20519
25.0,25,7.225899
13.0,13,7.237481
20.0,20,7.25411
10.0,10,7.262737
10.0,10,7.271164
10.0,10,7.279528
20.0,20,7.296208
16.0,16,7.309128
9.0,9,7.31701
19.0,19,7.331944
18.0,18,7.348404
15.0,15,7.360995
25.0,25,7.381903
17.0,17,7.395274
23.0,23,7.415118
11.0,11,7.423987
19.0,19,7.440192
21.0,21,7.457225
10.0,10,7.465569
18.0,18,7.481292
28.0,28,7.503357
12.0,12,7.514501
23.0,23,7.533034
12.0,12,7.544212
24.0,24,7.564548
12.0,12,7.573716
15.0,15,7.586107
26.0,26,7.60734
10.0,10,7.615705
25.0,25,7.636824
17.0,17,7.652142
27.0,27,7.673758
46.0,46,7.711506
15.0,15,7.724103
14.0,14,7.736182
21.0,21,7.75331
24.0,24,7.77366
27.0,27,7.797584
15.0,15,7.815175
40.0,40,7.856871
49.0,49,7.907488
36.0,36,7.943649
33.0,33,7.978426
11.0,11,7.988944
25.0,25,8.010873
11.0,11,8.01975
32.0,32,8.047718
25.0,25,8.068496
23.0,23,8.086384
21.0,21,8.105424
14.0,14,8.115564
30.0,30,8.140626
27.0,27,8.164188
95.0,95,8.243
28.0,28,8.264953
44.0,44,8.301858
69.0,69,8.361671
34.0,34,8.390749
25.0,25,8.413147
43.0,43,8.449321
64.0,64,8.504066
90.0,90,8.579481
